Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,Winner_iso3,RunnersUp_iso3,Third_iso3,Winner_population,RunnersUp_population,Third_population
1966,England,England,Germany,Portugal,Soviet Union,89,16,32,1.563.135,GBR,DEU,PRT,54648500.0,76600311,8930990
1970,Mexico,Brazil,Italy,Germany,Uruguay,95,16,32,1.603.975,BRA,ITA,DEU,95375651.0,53821850,78169289
1974,Germany,Germany,Netherlands,Poland,Brazil,97,16,38,1.865.753,DEU,NLD,POL,78967433.0,13545056,33678899
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1.545.791,ARG,NLD,BRA,27132158.0,13941700,115600942
1982,Spain,Italy,Germany,Poland,France,146,24,52,2.109.723,ITA,DEU,POL,56543548.0,78333366,36230481
1986,Mexico,Argentina,Germany,France,Belgium,132,24,52,2.394.031,ARG,DEU,FRA,30811980.0,77720436,56956002
1990,Italy,Germany,Argentina,Italy,England,115,24,52,2.516.215,DEU,ARG,ITA,79433029.0,32755901,56719240
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3.587.538,BRA,ITA,SWE,159265006.0,56843400,8780745
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2.785.100,FRA,BRA,HRV,60190684.0,169159655,4532135
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.705.197,BRA,DEU,TUR,178503484.0,82488495,67048795
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3.359.439,ITA,FRA,DEU,58399861.0,63622342,82376451
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3.178.856,ESP,NLD,DEU,46572772.0,16615394,81776930
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3.386.810,DEU,ARG,NLD,80982500.0,43024071,16865008
